abb	abban
abbló	abból
abbu	abból
abbul	abból
abbó	abból
abbú	abból
abbúl	abból
abbüó	abból
ablakbó	ablakból
ablakjok	ablakjuk
ablakná	ablaknál
ablakosszömű	ablakosszemű
ablakátúl	ablakától
abona	gabona
abrincsba	abroncsba
abrincson	abroncson
acnielsen	acnielsen
acskó	zacskó
acélkészségéve	acélkészségével
addák	adják
addég	addig
adjonak	adjanak
adjá	adj
adjónk	adjunk
adnyi	adni
adtanak	adtak
adtá	adtál
adónk	adunk
adós	adós
adóságba	adósságba
adóságokkal	adósságokal
adóságot	adósságot
adóságát	adósságát
aelpüfölésére	elpüfölés
agatták	aggatták
aggy	adj
aggyanak	adjanak
aggyatok	adjatok
aggyig	addig
aggyisten	adjisten
aggyit	annyit
aggyon	adjon
aggyá	adj
aggyál	adjál
agygyon	adjon
agyj	adj
agyonn	agyon
agyonütnyi	agyonütni
agyonütte	agyonütötte
agyonütted	agyonütötted
agyonüttem	agyonütöttem
agyonütték	agyonütötték
agyonűtik	agyonütik
agyák	adják
ahajt	ahelyt
ahhiz	ahhoz
ahhol	ahol
ahhon	ahhoz
ahhó	ahhoz
aholl	ahol
ahon	ahol
ahonneét	ahonnét
ahoz	ahhoz
ahun	ahol
ahunn	ahol
ahunnan	ahonnan
ahunnét	ahonnan
ahuon	ahol
ahuva	ahova
ahán	ahány
airbus-szal	airbusszal
ajhaj	ajjaj
ajis	is
ajjig	alig
ajpának	apjának
ajtókot	ajtókat
ajtónáóllk	ajtónállók
ajándékokot	ajándékot
ajándíkot	ajándékot
ajánlá	ajánlja
akadott	akadt
akarattyán	akaratán
akarcsak	akárcsak
akarhogy	akárhogy
akarhol	akárhol
akarmennyit	akármennyit
akarmilyen	akármilyen
akarminyő	akármilyen
akarmit	akármit
akarónk	akarunk
akaszottt	akasztott
akasztófáhó	akasztófához
akhát	achát
akihöz	akihez
akijé	akié
akiktűl	akiktől
akiról	akiről
akirűl	akiről
akki	aki
akkinek	akinek
akkire	akire
akko	akkor
akkor-	akkor
akkorjában	akkoriban
akkorr	akkor
akkort	akkor
akkurát	akkorát
akkó	akkor
akkór	akkor
aklombul	aklomból
aklábul	akolból
akolbó	akolból
akárhunnét	akárhonnan
aképen	akképpen
alabb	alább
alaja	alája
alakjábuó	alakjából
alaku	alakú
alakúná	alakúnál
alapszabálymódosító	alapszabály-módosító
alcsonyabb	alacsonyabb
alhatik	alhat
alhatol	alhatsz
alhattá	alhattál
allyig	alig
allát	allahot
almákot	almákat
almáriom	almárium
almáriomba	almáriumba
almáriomban	almáriumban
almáriomok	almáriumok
alol	alól
alszonak	alszanak
alsó-bajom	alsóbajom
alsónémű	alsónemű
